idea,sentence
If they can start doing caesarean here at this health center so that our caregivers do not have to sleep in the coldness at Rwekubo ,We need if start caesarean health
 there is many infants born with breathing difficult so support oxygen thereby in order those infants get support.,We need many infants born breathing
Provide charcoal for preparing the food you are giving us because some times we stay hungry due to lack of firewood for preparing it.,We need provide charcoal preparing food
Be supporting foster parents with food and clothes for the orphans we look after because it is not easy for us to get money to buy food,We need be supporting foster parents
Train people on business skills especially widows and orphans in order to acquire knowledge that can help them and their children,We need train people business skills
Provide multivitamin syrups in order we prevent anaemic states of pregnancy mothers.,We need provide multivitamin syrups order
Remove money we pay at water points because that money we receive is meant to buy food only and nothing else.,We need remove money pay water
Avail an emergency room where you can put people who are in a critical condition instead of mixing them with other patients in the same ward,We need avail emergency room put
Train us on briquet making skills in order to reduce on the costs we spend buying and transporting charcoal because it is expensive  ,We need train us briquet making
Tell parents to be packing food for their children to take to school so that they can study well without hunger issues.,We need tell parents packing food
Provide food ratio every month because giving out for two month at once makes us misuse it.,We need provide food ratio every
Those responsible for land should stop farmers from cultivating our valleys so that we can get where to graze our animals,We need those responsible land stop
Provide pampers to we pregnant mothers who might be referred as some of us get challenge because they don't have them,We need provide pampers pregnant mothers
Loan services should be available for us to create jobs because some people are unemployed due to lack of start up capital,We need loan services available us
Most of our elderly people have hypertension and antihypertensive drugs isn't available in our health facility so support antihypertensive.,We need most elderly people hypertension
Donate enough text books at Bujubuli secondary school so that we can borrow different books and read for better understanding .,We need donate enough text books
Give enough food ratio so that our children can get what to pack for lunch since coming back home stress them and can't study well.,We need give enough food ratio
Providing transfer easily when they failed to treat someone because they keep telling to come back ,We need providing transfer easily failed
Increase on the number of teachers so that each teacher can't teach more than one lesson for better understanding of pupils.,We need increase number teachers teacher
Advise youth to not engage in sexual activities that can lead to early marriages and unwanted pregnancies so that they can continue studying,We need advise youth engage sexual
Avail loan services so that we can get many ways to survive because that money can be used in income generating activities,We need avail loan services get
It is looks good if the agency implement laboratory sections in order to investigate the exact diseases we have to take exact treatment.,We need it looks good agency
Increasing microfinance institutions will help us to be acquiring loan easily so we request them to come for us for us to boost businessess,We need increasing microfinance institutions help
To avoid being board they would turn on TV in maternity waiting area,We need to avoid board would
Distribute mosquito nets to prevent people from malaria since we live in a place full of swamps,We need distribute mosquito nets prevent
We request the agency to support injection medications because isn't available in our public health facility.,We need we request agency support
Money should be increased so that we can be able to buy medicines we need because they don't give us expensive medicines ,We need money increased able buy
Face mask wouldn't be forced to wear by distributors they may let us put them willingly because some of us have sinusitis,We need face mask would forced
Support infusions in order weak patients get support and strengthened blood level.,We need support infusions order weak
Educate the community the importance of vaccines since most parents don't want their children to be vaccinated due to the lack of knowledge,We need educate community importance vaccines
Provide porridge flour those who don't have buckets because there is those who are poor and have only sachets ,We need provide porridge flour buckets
Provide under wears for girls after every 6 months so that they can put on to protect them from infections or sexual abuse.,We need provide wears girls every
Put up a university in the camp so that our children are able to go for higher education here than being taken outside the camp .,We need put university camp children
Install hand washing points in front of the toilets to clean students their hands after use to reduce spread of epidemic diseases.,We need install hand washing points
Support ambulance car in order we make referral for emergency health situations need further care and treatment to reach general hospitals.,We need support ambulance car order
Repair taps in past partum bathroom to avoid beget mothers going outside to fetch it because it is tiring,We need repair taps past partum
When my pregnancy check up card from ANC distributors would supply porridge flour so that we can take porridge flour,We need when pregnancy check card
Changing organisation in charge of health because they are no longer caring to us like before ,We need changing organisation charge health
They shouldn't be delaying to give us our monthly ration for us who receive money because it makes our children to suffer with hunger,We need they delaying give us
Get clothes for the elderly and Persons living with disabilities so that they dress up decently since their clothes are now torn up.,We need get clothes elderly persons
Those who are hospitalized in maternity could send someone else and be accepted taking porridge in our behalf for better support,We need those hospitalized maternity could
Build more nursery schools in the camp so that young children are able to go to school too than disturbing us at home as parents.,We need build nursery schools camp
"Stop reducing on the money ratio we are getting because it was reduced to 19,000/= which is very little.",We need stop reducing money ratio
Avail pads in the maternity so that mothers who have delivered can put on in order to maintain their hygiene during their postpartum period,We need avail pads maternity mothers
Provide students face masks to protect covid-19 because the classes are very congested and it can cause that spread of Corona virus. ,We need provide students face masks
"Give training health workers to improve their knowledge because capacity building training is very important for them, so conduct it.",We need give training health workers
"Repair one broken glass of IPD's ward, so that it might not cause accidents to the patients in the near future",We need repair one broken glass
"Since we are in groups, give us loans to help us to buy domestic animals to rear because they will help us to fight poverty ",We need since groups give us
Teach people imprtance of agricultural skills so that they can be motivated to come to learn them & apply them in their gardens ,We need teach people imprtance agricultural
Support PSNs with water tanks for them to harvest rain water because they are too weak to walk long distance looking for water ,We need support psns water tanks
I will keep mobilizing patients to wear facemasks properly even in waiting area as many of patients are not wearing it properly ,We need i keep mobilizing patients
Laboratory technicians should stop leaving service early especially in the weekends so that we can find them without coming back on monday,We need laboratory technicians stop leaving
Umbrellas are needed to all pregnant mothers we can take porridge flour being protected from the rain ,We need umbrellas needed pregnant mothers
"Receptionist should brief some patients to wash two hands rather than washing one hand, as washing one hand can't kill all germs ",We need receptionist brief patients wash
Give enough health instruments traditional midwives although they are serving community at night because we don't have transportation.,We need give enough health instruments
Archivist should start providing token numbers at least from 7:00 am so that nurses might start running the service early ,We need archivist start providing token
Train us on how to carryout some special agricultural activities like growing vegetables in order to make money because we don't know,We need train us carryout special
More awareness about GBV prevention is needed in Kigali for people to learn and have knowledge in order to stop doing it ,We need more awareness gbv prevention
Continue raising awareness about corona-virus because most of people don't respect prevention measures ,We need continue raising awareness people
Resume putting condoms in the public places you used to put in order to be  protecting ourselves from sexual transmitted diseases,We need resume putting condoms public
Better to sort out the issue of electricity that keeps going at 12:00 noon yet some patients need to be tested in laboratory,We need better sort issue electricity
There should be a smooth communication with tertiary hospitals on our transfers to avoid that we miss the appointment.,We need there smooth communication tertiary
"Health Centers should operate both shifts because emergency cases can't wait the services long hours, so implement afternoon shift.",We need health centers operate shifts
Schedule two technicians in laboratory service so that we can get our results before noon as one can't test all patients before lunch time,We need schedule two technicians laboratory
Continue to encourage us to form saving groups for us to save because there are people who are not in groups but willing to join,We need continue encourage us form
This place is so far so change it because we pregnant mothers are not strong to stand long time while waiting to be served porridge flour,We need this place far change
I would like Agency to support materials schooling children in order to be motivation and continue their learning smoothly. ,We need i would like agency
Give some financial support to all teachers that haven't been earning since lockdown so that they are able to  survive from hunger.,We need give financial support teachers
Provide us five kilograms of porridge so we can reach the expected date of the next distribution,We need provide us five kilograms
"For the sake of receiving great service, alight's workers would start providing service at 7:30am rather than providing it at 9:20 am ",We need for sake receiving great
"Bring laboratory test hospitals,Dhobley is a big town & population is higher than usually because returnees & displaced people were increase",We need bring laboratory test hospitals
Come and teach our girls advantage of education for them to focus on it than getting married at early age ,We need come teach girls advantage
They have to provide more blood pressure monitors so that it can't take time to get one to test a patient because only one monitor is in use,We need they provide blood pressure
Sensitize community to adapt health life styles like eating health food and making exercise to prevent metabolic diseases.,We need sensitize community adapt health
Permit us to be grazing near NEEMA so that our animals can survive because the only place we've is on the hill tops where they do chase us,We need permit us grazing near
Start receiving patients at least from 7:30 am rather than getting service around 9:00 am as we spend much time in the waiting hall,We need start receiving patients least
Keep changing nurses at least once within one year because when they delay they work like how they want ,We need keep changing nurses least
It can be better if they find ways to speed up the provision of laboratory results because it makes us delay to proceed with treatments,We need it better find ways
When they sent us taking porridge flour without proof distributors could serve it to avoid going back home without getting it ,We need when sent us taking
"In order to help us to get treatment early,health center would brief consultants to be in consultation service at 8:00 am ",We need in order help us
Always prioritise PSNs during food distribution so that we can go back home early since we can't stand for long.,We need always prioritise psns food
Encourage community leaders to be reporting SGBV cases when they can't manage to solve them in order to create peace in homes ,We need encourage community leaders reporting
Discourage children dropout schools because most of them moving markets without aimless. ,We need discourage children dropout schools
"am feeling pelvic pain, i would like to get urine investigation to diagnosis my problems so the agency should establish laboratory service",We need feeling pelvic pain would
Increase the quantity of porridge flour from six kilograms to eight so that we can't come back while it hasn't been finished,We need increase quantity porridge flour
"Prioritize patients who're suffering a lot rather than sending them in waiting hall, it'll help them to get quick service without delaying",We need prioritize patients suffering lot
Have discussion with youth in kisoro village to remind them the consequences of early marriages because in this community it is too high.,We need have discussion youth kisoro
SGBV and PFR should plan a campaign to teach people on their responsibilities because people don't know to separate each organ's duties.,We need sgbv pfr plan campaign
Training should be attended by nurses who don't have many duties in order to help patients to get great service,We need training attended nurses many
"Better to not ignore patients who have skin diseases in case they need service at this health center, it'll be more helpful",We need better ignore patients skin
CHWs should give special awareness customers with poor hygiene in order they would adept practicing with good hygiene for future.,We need chws give special awareness
Train some survivors of SGBV on counseling skills so that they can support other survivors of  SGBV to cope with its effects in their lives.,We need train survivors sgbv counseling
"Resettle children for orphans to third country so that we can be well fostered, have better education than living here in trauma.",We need resettle children orphans third
Train community structures on how to handle some cases in communities in order to reduce on GBV cases in this period of corona virus,We need train community structures handle
Expanding wards at Nshungyezi health center so that patients can not be sharing bed ,We need expanding wards nshungyezi health
Conduct more van drive awarenesses to provide mental health services to people who are stressed to cause positive change.,We need conduct van drive awarenesses
Better to schedule five nurses in the weekend as 4 nurses aren't enough to serve all patients in the weekend which leads to bad service,We need better schedule five nurses
Nutrition sector may avail enough weighing scales so we can be put in different sites instead of coming from village two and go at handicap,We need nutrition sector may avail
Food ratio should be increased to 30kgs because a person can take 1kg per day therefore 30kgs will take us throughout a month.,We need food ratio increased 30kgs
Train community members how to use referral pathway signposts so that they can understand where to report certain cases.,We need train community members use
We request the agencies with health partners to support multivitamins because isn't available in the pharmacy of our health facility.,We need we request agencies health
Better to do an assessment why nowadays we mothers are getting pregnant while using family planning,We need better assessment nowadays mothers
"We are unable to get food with balanced diet due to vulnerabilities, so that all organizations should provide us meals to get energy.",We need we unable get food
We pregnant mothers are several times weak so better to put us at kitchen two and three instead of sending us at handicap which so far,We need we pregnant mothers several
Giving us even expensive medicines because they give us only paracetamol ,We need giving us even expensive
It would be better if they can advise women of NyaruguguA to stop taking alcohol during working hours in order for them to care for children,We need it would better advise
Alight would support in strengthening collaboration between host community and camp residents by allowing host patients to receive service,We need alight would support strengthening
Supply school bags to our children so that they don't carry them in hands since they get  destroyed quickly due to sweat.,We need supply school bags children
Train RWC leaders how to provide guidance and counseling to survivors so that they can stop stigmatising us for the interest of money.,We need train rwc leaders provide
There is many sick young infants those nurses isn't know their problems so support pediatric doctor to treat our children effectively.,We need there many sick young
Those who live in village two and three may not take porridge at hand handicap which far better to put us at kitchen four to avoid weakness,We need those live village two
Fix enough benches in the waiting hall so that we can sit well without squeezing yet we have to apply social distancing in this pandemic,We need fix enough benches waiting
Pregnant mother should be test the blood group and note their card because it help her to solve for emergency cases,We need pregnant mother test blood
Add the service team opthalmologist doctor in order we get good eye services because there many people with vision problem in our community.,We need add service team opthalmologist
The nurses should referral feeding Centers children with anorexia until to gain the weight because it's very difficult to treat outpatient.,We need the nurses referral feeding
Support anti allergic drugs because most of us we have skin problems and  anti allergic drugs isn't available in our health facility.,We need support anti allergic drugs
Train us on vocational skills mostly mechanics and tailoring for us to know because after knowing skills stress for money reduces,We need train us vocational skills
Nurses to respect patients because they use to abuse us as if we are not human beings like them ,We need nurses respect patients use
"Better they safely keep our medical files because when a file is lost, we are required to start newly proceeding with our treatment.",We need better safely keep medical
"For better service, they would organize a meeting of teaching men about family planning to avoid misunderstanding in our family",We need for better service would
Provide us those cans which were containing oils so that we can use them to drink water ,We need provide us cans containing
Provide us two more kilograms of porridge flour so we can get them sufficiently,We need provide us two kilograms
Bring single schools in the camp so that girls can study alone and boys alone to reduce on the number of pupils who dropout due to pregnancy,We need bring single schools camp
"Patients should be received and be treated in the afternoon like in the morning, as we always get one paracetamol in the evening only",We need patients received treated afternoon
Be giving us salt as before because we no longer receive it yet we don't have money to buy it.,We need be giving us salt
In charge of livelihood should tell us how to get loans to do businesses because we don't know the requirements ,We need in charge livelihood tell
Multivitamins is very important for children with poor appetites it could be better if NGOs add MCHs in order our children get good appetite,We need multivitamins important children poor
The third consultation room for adults patients will support in speeding up the service at this health center as we have many patients,We need the third consultation room
Be educating mothers to keep the toilets clean especially for those who are bleeding because it makes them(toilets) smell ,We need be educating mothers keep
Construct Youth learning and socialisation centres so that they can go there to learn and socialise with other youth instead of doing crimes,We need construct youth learning socialisation
Because it's sunny  at the kitchen they should provide porridge flour very early to avoid us being tired.,We need because sunny kitchen provide
Support orphans with clothes and scholastic materials because their foster parents can't manage,We need support orphans clothes scholastic
"If lactating mothers cook porridge daily they would produce enough milk during exclusively breastfeeding, so tell them to eat porridge.",We need if lactating mothers cook
Do training in the afternoon instead of conducting it in the morning in order to help mothers who come for immunization to use their room,We need do training afternoon instead
Teach our husbands who cause quarrel in our family because we get pregnancy while using family planning so they can be convinced,We need teach husbands cause quarrel
Adolescents who need where to construct houses should be given plots so that they can stop fighting with parents to have where to build. ,We need adolescents need construct houses
Advice mothers to give clean water children to protect water born diseases because community don't have safe water to drink.,We need advice mothers give clean
"Give us capital to add on amount we have, this will boost our businesses because little capital is hard to manage ",We need give us capital add
Having mobile clinic in Michinga III because it is not easy to foot up to Nshungyezi when you don't have transport yet you are sick ,We need having mobile clinic michinga
Protection partners need to bring programmes that can help our youth to stop drinking alcohol and be responsible people.,We need protection partners need bring
Support farmers with manure to be putting in gardens to make them fertile because they have lost fertile hence reduction in productivity ,We need support farmers manure putting
Security guards at food distribution points should always respect us because most of us are being harassed from there.,We need security guards food distribution
Health team should conduct awareness about how maintain good health every time when every mothers visit MCHs need gurd lines to follow,We need health team conduct awareness
Keep reading what we put in suggestion boxes and give us feedback because we have many things to share with them ,We need keep reading put suggestion
Tell them to come & teach the women of Kigali how to respect their husbands because we feel bad when they abuse us in front of our children,We need tell come teach women
uniform is about to finish so provide new once to dress properly in order to become beauty because our parents are unemployed. ,We need uniform finish provide new
"Sort out the issue of drugs scarcity that are being observed at this health center nowadays, it'll help us in getting medicines in easy way",We need sort issue drugs scarcity
Pregnant mothers would be checked STIs at 6 months for better follow up as most of us have been checked at the first pregnancy check up,We need pregnant mothers would checked
Avail enough plastic chairs in the waiting hall so that pregnant mothers can sit in instead of sitting outside due to lack of them,We need avail enough plastic chairs
Be calling for equality in homes because it is causing violence among loved ones leading to family breakages.,We need be calling equality homes
Employ some refugee teachers who are qualified in teaching so that our children can be taught by people that knows their language.,We need employ refugee teachers qualified
"Better to renew this health center as many of its buildings are very old, and it'll look pretty good after the rehabilitation of it",We need better renew health center
Paracetamol is not a cure but just a pain killer if they could be giving us a full dose of the medicine prescribed by the doctor for us heal,We need paracetamol cure pain killer
"Every village should be receiving livelihood support so that all groups to can get because services don't reach in Rubondo A, B and C",We need every village receiving livelihood
"In order to avoid early marriage among youth in our communities,they should provide free education because some get married due to lack fees",We need in order avoid early
Teach pregnant mothers how to sleep especially those who have the big one to avoid their babies facing any problem,We need teach pregnant mothers sleep
Common services would increase the number of monthly soap to at least 4pieces per female of reproductive age for continuous better hygiene.,We need common services would increase
Provide another vehicle at Ikra primary school to pick and drop the children for school because it's a bit far from the town.,We need provide another vehicle ikra
Prioritizing PSNs at health centers like how they do at food distribution because they are so weak ,We need prioritizing psns health centers
Instead of maize be giving us rice which gets ready very fast since getting firewood is very difficult on our side.,We need instead maize giving us
"If a patient has been treated at this health center more than 20 times and no improvement, better to refer that patient to the doctor",We need if patient treated health
Allow schools to resume because our children are no longer listening to us and they spend the whole day moving up and down.,We need allow schools resume children
We request the agency to support anti malarial treatment because there is many people in our village those strangled malaria disease.,We need we request agency support
Construct pediatric hospital at Dhobley town to diagnose childhood diseases because we are vulnerable customers who can't visit Cities.,We need construct pediatric hospital dhobley
Lab technicians would speed up bringing results so that we patients can leave the health center early,We need lab technicians would speed
It would be better if they can be listening to men with SGBV cases because they don't listen to us like women ,We need it would better listening
We patients with mental disabilities should should get a support of food since our drugs are strong and we can't take them in empty stomach,We need we patients mental disabilities
Thanks for rehabilitation of main roads but reach down in villages also to rehabilitate small roads to ease transporting of crops in gardens,We need thanks rehabilitation main roads
Continue raising awareness about corona-virus because people wear masks when they are at food distribution only ,We need continue raising awareness people
Whoever is in charge of recruiting medical staff shouldn't be bringing nurses who can't speak our languages because its hard to communicate ,We need whoever charge recruiting medical
Allow us to enter in the health center without saying that we are not sick because we don't have high temperature.,We need allow us enter health
Hire one more nurse who'll support in treating out patients so that we might get quick service as three nurses aren't enough to serve us,We need hire one nurse support
Be coming to vaccinate our domestic animals in case of diseases so that they may not die due to lack of drugs ,We need be coming vaccinate domestic
CHWs may not prioritize those who have last token numbers so we patients can't complaints or be discouraged,We need chws may prioritize last
Better for every PSN to be given at least a pig to help them live well because they will not be suffering while waiting for food ration  ,We need better every psn given
It would be better if they can provide free education to all orphans so that they can also study like other children,We need it would better provide
Starting early so that we can not be staying at health center long time because it makes the sickness increasing ,We need starting early staying health
Find a solution to bringing PSN's food items to their homes from the food distribution centre since they can easily move and have no money.,We need find solution bringing psn
New megaphones are need by community workers to use them during mobilization and when raising awareness.,We need new megaphones need community
A nurse who works in antenatal service should support us in getting service in case we reach here at 9:00 am instead of missing service,We need a nurse works antenatal
Recruit community workers who will be assessing people to give livelihood support for us to benefit because we don't know ways to get them,We need recruit community workers assessing
Remind those who are in charge of putting water in this hand washing facility at pharmacy to put it so we can prevent us from covid-19,We need remind charge putting water
Provide hygiene kits pregnant women in order to promote our hygiene practice to feel comfortable because we need to clean clothes and bath.,We need provide hygiene kits pregnant
Prioritize students from getting drugs so that we can go back at school,We need prioritize students getting drugs
A students who is wearing uniform should be prioritized so that she/he might get service early and get time of going back at school,We need a students wearing uniform
Find a way of reminding us what we were taught before corona since some of us have never got any study materials up to now.,We need find way reminding us
Antenatal service should receive pregnant mothers whenever they come instead of briefing them to reach in the waiting hall at 7:00 am ,We need antenatal service receive pregnant
Tell them to give us lands so that we can carry out agriculture since it is what we rely on for our survival ,We need tell give us lands
When we have missed some drugs nurses who prescribed them should change them otherwise require them from other pharmacies.,We need when missed drugs nurses
Health partners & wash team should collaborate how to collect the wastes in the town because it can cause outbreak diseases in the community,We need health partners wash team
"Since domestic violence is common in our village kabazana A ,let them give us hotline number of be calling and get support from officers",We need since domestic violence common
Providing CSB to pregnant mothers monthly in order to produce healthy children because sometimes they don't supply ,We need providing csb pregnant mothers
Schedule the third nurse who'll support in treating out patients in the evening as we always get the poorest service in the evening,We need schedule third nurse support
Give us money to do businesses so that we can earn a living because they stopped us from digging in gardens as they settled in new arrivals ,We need give us money businesses
Avail painkiller so a mother after begetting the pain can be reduced,We need avail painkiller mother begetting
"Better to rectify the system of briefing patients to come for treatment in the morning only, as it's not pretty awesome",We need better rectify system briefing
Ambulance should be available all time for the  pregnant mothers to call whenever we feel pain of labor hence main hospitals are very far,We need ambulance available time pregnant
"People at Bulo Kutuur settlement are need to implement free health Center because the village is large, so NGOs should construct us MCHs.",We need people bulo kutuur settlement
Provide us full medicines so we can get recovered quickly and support our families as most of us are working out of the camp.,We need provide us full medicines
Register orphans who are asylum seekers so that they can have access to services like free education and medical support.,We need register orphans asylum seekers
Raise awareness during money finger prints because the violence cases increases when we are getting money ration,We need raise awareness money finger
Hire people to clear all the bushes around the school compounds so that they can look so smart by the time our children goes back.,We need hire people clear bushes
Conduct SGBV awareness in zone 6 especially here there are many new arrivals to reduce the violence on women.,We need conduct sgbv awareness zone
Encourage people to join groups teaching agriculture skills such as making manure because they'll help them in future,We need encourage people join groups
Bring one more hand washing facility near public toilets so we can wash our hand easily after easing ourselves.,We need bring one hand washing
"Caretakers bring children when they become ill, so conduct health seasons each village parents to call health centers if there is emergency.",We need caretakers bring children become
Keep changing nurses at least once within 6months because when they delay they don't work well ,We need keep changing nurses least
Tell soldiers to stop mistreating boda bodas due to disobeying covid 19 preventive measures because their threats affect our business,We need tell soldiers stop mistreating
Health sector should support vulnerable people mosquito nets to fight against mosquitoes bites,We need health sector support vulnerable
Pregnant mothers should be prioritized at the pharmacy so they can leave the health center as soon as possible.,We need pregnant mothers prioritized pharmacy
It would be better if they can give paralegals salary this year because last year we worked for free,We need it would better give
Fence well all the school compounds so that pupils have no where to escape from since sometimes you find them loitering in the centre.,We need fence well school compounds
Pregnant mothers should get transfers in case there are not getting well instead of coming here  yet we are not getting further treatment,We need pregnant mothers get transfers
"Government should register ambulances which would work pregnant women freely day and night, because movement is not good at night time.",We need government register ambulances would
Be giving transport refund when they are called for the meeting at the office because we feel bad when they give us biscuits and soda only,We need be giving transport refund
Encourage people to stop selling food given to us because our children always stay hungry due to lack of food.,We need encourage people stop selling
Providing all medicines we may need because they give us only 2 paracetamol ,We need providing medicines may need
Increase number of beds in patient's wards so that hospitalized patients can get them instead of putting metres on the floor,We need increase number beds patient
We need a bathroom in village four of quarter 3 for the hygiene of the food as we take a shower in kitchen which increase poor hygiene.,We need we need bathroom village
Health team should provide food pregnant mothers with poverty to protect server anaemia which can lead risk like prolonged labor & mortality,We need health team provide food
Provide another ultrasound so we can get a full follow up of our babies before they are born,We need provide another ultrasound get
Education partner should think of activities that can be done by our children to make them busy since many are idle hence joining bad groups,We need education partner think activities
Mobile clinic is needed in Michinga II because it is not easy to foot up to Nshungyezi or Rulongo health center when you are pregnant ,We need mobile clinic needed michinga
"In case a patient has more than 3 sings and symptoms of corona virus, better to test her corona virus, it'll be more helpful",We need in case patient 3
Better provide resettlement to a survivor who is staying in prison at base camp so that to access proper services like others.,We need better provide resettlement survivor
Conduct awareness in misiera B teaching women and men to live peacefully without domestic violence in order for our homes to develop,We need conduct awareness misiera b
"I would put three doors on chambers that don't have them for increasing the hygiene as since they got stolen, kids misuse them.",We need i would put three
Bring enough drugs in the pharmacy so we can't keep on attending at the health center while we won't get them,We need bring enough drugs pharmacy
Two mosquito nets should be supplied for all pregnant mothers so that we can rotate using them when doing cleanliness,We need two mosquito nets supplied
Support survivors who stays in protection house with food because they fear to come back in villages seek jobs and get what to eat.,We need support survivors stays protection
Schedule how patients with emergency issues can get full treatment in consultation service after getting first aid in emergency service,We need schedule patients emergency issues
Community Health workers should conduct complementary feeding seasons with lactating mothers to avoid malnutrition our young children. ,We need community health workers conduct
Avail mosquito nets in all services to avoid us being disturbed by mosquitoes while we are sick.,We need avail mosquito nets services
Nutritionists would give us all of us milk instead of giving only the ones who give birth for better service,We need nutritionists would give us
Eight am will be the real time of treating patients rather than treating us at 9:30 am as it's very late yet many of us came at 5:00am,We need eight real time treating
Better if all the prescribed medicines are availed at pharmacy to avoid that a pharmacist requests us to go back at consultation for change.,We need better prescribed medicines availed
Continue to meet parents and advise them to stop allowing children to have marriage when they are still young to avoid early marriages.,We need continue meet parents advise
Conducting many awarenesses about family planning because they keep reducing money and food which will make most of children suffering ,We need conducting many awarenesses family
"Water tap of Q3V5 toilet tank is not working, fixing it will ease fetching for cleaning toilet as currently it requires us to climb the tank",We need water tap q3v5 toilet
Health center's workers should prioritize adults in case there are few in the waiting hall so that they might get service before others,We need health center workers prioritize
Two nurses are needed in ANC pregnancy check up so that services can be fastened for better improvement,We need two nurses needed anc
Open up internet connection so that we who study online can continue with our studies since we are facing difficulties during this time.,We need open internet connection study
Support orphans with clothes to wear because we foster parents we can't manage to buy everything for them,We need support orphans clothes wear
Bring enough water at the reception so we can get it whenever we wish in order to take our drugs,We need bring enough water reception
Implement psychiatric health facility in order mentally problem patients get good mental health service in order they improve their life.,We need implement psychiatric health facility
"Three rooms of Q3V5 toilet are dirty due to their doors that been be stolen, fixing them will raise their hygiene and sanitation.",We need three rooms q3v5 toilet
They should give other tokens patients waiting at laboratory for keeping the order of entering inside because they disorderly enter there.,We need they give tokens patients
Provide mama kits and food for the baby that lost her mother during delivery so that the child can survive.,We need provide mama kits food
PSNs without latrines in kisoro village and Rwembogo should be supported respectively so that to have where to ease themselves.,We need psns without latrines kisoro
"Archivist should start organizing patients at 7:00am so that nurses might start treating us at 8:00am, it'll be more helpful",We need archivist start organizing patients
"We feel unhappy due to spend long time in the waiting hall, health center would look how service might start running at 8:30 am again",We need we feel unhappy due
"The rehabilitation of the wash stand in Q5V4 is very old that we wash in basin which consumes soap, refreshing it will save water and soap",We need the rehabilitation wash stand
Women who are physically harassed by their partners should be sensitised to speak out because they use to keep those acts as a secret.,We need women physically harassed partners
Health center's guards should have forehead thermometers which can help them to test visitors before entering here ,We need health center guards forehead
Avail covers to be used on mosquito nets distribution day to we pregnant mothers because we don't have bags to carry them from ANC,We need avail covers used mosquito
Reach to us and give us capital to start businesses because we have skills on businesses but we don't have money to begin with ,We need reach us give us
Maintain the system of providing notebooks according to who came early so that they might be treated early rather than mixing notebooks,We need maintain system providing notebooks
It would be better if they can can be coming in kabazana and teach women to stop misusing money ration in buying alcohol than food for kids ,We need it would better coming
Our leaders should be trained how to handle people with mental disabilities so that they can stop mishandling them to access services.,We need our leaders trained handle
Health sector should do outreach sessions ones every month to reach village which has no MCH to reduce unhealthy conditions,We need health sector outreach sessions
"As I have a plot where to install a water point, better to build it so that we stop walking everywhere to seek for water.",We need as i plot install
Receptionist should be around gate so that she can support students to get service in case they wear uniforms instead of waiting like others,We need receptionist around gate support
They should put more efforts in hiring more interpreters at the health to facilitate communication between us and medical staffs,We need they put efforts hiring
Supporting malnourished people with powder milk to boost their immune ,We need supporting malnourished people powder
Parents should be educated on the importance of educating girl child equally as boy child since we too can be productive to our community.,We need parents educated importance educating
Provision of resettlement to Rwandan individuals would be important because we need to seek support from other countries.,We need provision resettlement rwandan individuals
"I'm old woman with disabled and I have wound which is need daily dressing, so health team should aware patients like me and give care.",We need i old woman disabled
Transfers should be given in case doctor can't treat us instead of keep getting medicines only,We need transfers given case doctor
Hire one more doctor to support those who are working in order to get better services.,We need hire one doctor support
Provide us net to protect mosquitoes bites when we are reversing lessons at night in order to read books comfortable.,We need provide us net protect
Conduct awareness about domestic violence in zones with many alcohol addiction people so we that they may change & stop beating their women,We need conduct awareness domestic violence
A nurse should stay around for serving us early because we wait longer when he/she has left the service point for several minutes.,We need a nurse stay around
Prescribe drugs based on how we patients narrated instead of changing and provide other ones ,We need prescribe drugs based patients
We need need to begin investments but we are limited by capital so help us to access it so that we can succeed in our plans,We need we need need begin
Health sector should support customers treated mosquito nets because mosquitoes bites increase nowadays,We need health sector support customers
Distribute sanitary pads to all school children that are now at home since getting what to use during this period is too hard for us.,We need distribute sanitary pads school
"As we have new maternity, better to avail bedsheets as well so that we might use them, as sleeping on mattress without bedsheets isn't fair ",We need as new maternity better
"As some of we patients are not able to buy stuff babies, they would avail them in maternity so all of us can look smart",We need as patients able buy
